filename,start line,end line,compile,test,Correct?,Precondition violation
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/StateMachinesHelperEUMLImpl.java,108,113,,,,not all possible execution flows end in a return statement
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/DataTypesFactoryMDRImpl.java,127,133,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/cognitive/ToDoItem.java,424,430,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UndoCoreHelperDecorator.java,213,217,,,,"Expression getComponent.setAbstract,  getComponent.setNavigable is a void method call, and thus it cannot be parameterized"
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java,766,771,,,,"Expression (Extend)handle cannot be unified with expression (ElementImport) elementImport, because common superclass does not declare members"
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/persistence/ArgoParser.java,410,414,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ActivityGraphsFactoryMDRImpl.java,88,93,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ExtensionMechanismsFactoryMDRImpl.java,92,97,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UseCasesFactoryMDRImpl.java,81,86,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/cognitive/ToDoList.java,698,702,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/ui/explorer/PerspectiveManager.java,200,205,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CollaborationsFactoryMDRImpl.java,93,98,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CommonBehaviorFactoryMDRImpl.java,111,116,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CoreFactoryMDRImpl.java,162,167,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ModelManagementFactoryMDRImpl.java,128,133,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/StateMachinesFactoryMDRImpl.java,114,118,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/NotationSettings.java,269,274,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/ui/FigAssociation.java,283,288,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/profile/internal/ocl/OclInterpreter.java,123,127,,,,two clones return variables with different types
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/UndoCoreHelperDecorator.java,231,235,,,,"Expression is a void method call, and thus it cannot be parameterized"
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CollaborationsHelperMDRImpl.java,376,380,,,,no refactoring oppoturnies were found
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/UseCasesHelperEUMLImpl.java,138,143,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-core-model-euml/src/org/argouml/model/euml/CoreHelperEUMLImpl.java,1134,1138,,,,unmatched return type
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/uml/diagram/ArgoDiagramImpl.java,268,273,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/cognitive/Critic.java,646,651,yes,yes,yes,
/Users/xingqian/Downloads/argouml-master/src/argouml-app/src/org/argouml/notation/providers/java/NotationUtilityJava.java,144,149,,,,unmatched return
