Pair ID,Clone Type,GPT-4o,Jdeodorant
271-1-2,Type-1,1,1
327-3-4,Type-1,1,1
601-1-2,Type-1,1,1
641-3-4,Type-1,1,1
661-3-4,Type-1,1,1
678-3-4,Type-1,1,1
699-1-2,Type-1,1,1
745-3-4,Type-1,1,1
752-1-2,Type-1,1,1
755-3-4,Type-1,1,1
889-1-2,Type-1,1,1
904-4-5,Type-1,1,1
998-1-2,Type-1,1,1
1016-1-2,Type-1,1,1
1024-4-5,Type-1,1,1
1048-1-2,Type-1,1,1
1081-1-2,Type-1,1,1
1091-1-3,Type-1,1,1
1091-2-4,Type-1,1,1
1168-1-2,Type-1,1,1
1169-1-2,Type-1,1,1
1178-2-3,Type-1,1,1
1206-1-2,Type-1,1,1
1238-1-3,Type-1,1,1
1238-2-4,Type-1,1,1
1240-1-2,Type-1,1,1
1304-1-2,Type-1,1,1
1386-1-2,Type-1,1,1
1386-1-3,Type-1,1,1
1386-2-3,Type-1,1,1
1393-1-2,Type-1,1,1
1400-3-4,Type-1,1,1
1400-5-6,Type-1,1,1
1411-1-2,Type-1,1,1
1467-4-6,Type-1,1,1
1467-7-8,Type-1,1,1
1467-7-10,Type-1,1,1
1467-8-10,Type-1,1,1
1467-9-11,Type-1,1,1
1485-1-2,Type-1,1,1
1492-1-2,Type-1,1,1
1535-1-2,Type-1,1,1
1535-1-3,Type-1,1,1
1535-1-4,Type-1,1,1
1535-2-3,Type-1,1,1
1535-2-4,Type-1,1,1
1535-3-4,Type-1,1,1
1535-5-6,Type-1,1,1
1535-5-7,Type-1,1,1
1535-5-8,Type-1,1,1
1535-6-7,Type-1,1,1
1535-6-8,Type-1,1,1
1535-7-8,Type-1,1,1
1564-1-4,Type-1,1,1
1569-1-2,Type-1,1,1
1639-1-2,Type-1,1,1
1659-4-5,Type-1,1,1
1659-6-7,Type-1,1,1
1669-1-2,Type-1,1,1
1689-1-2,Type-1,1,1
1758-1-2,Type-1,1,1
1783-1-2,Type-1,1,1
