Pair ID,Clone Type,GPT-4o,JDeodorant
4/1/02,Type-3,0,1
37-2-3,Type-3,0,1
51-1-2,Type-3,0,1
52-1-2,Type-3,0,1
52-1-3,Type-3,0,1
52-2-3,Type-3,0,1
52-2-4,Type-3,0,1
52-3-4,Type-3,0,1
85-1-2,Type-3,0,1
95-1-2,Type-3,0,1
121-1-2,Type-3,0,1
177-1-2,Type-3,0,1
189-1-2,Type-3,0,1
202-1-2,Type-2,1,1
203-1-2,Type-2,1,1
218-1-2,Type-2,1,1
240-1-2,Type-2,1,1
240-3-4,Type-2,1,1
245-1-2,Type-3,0,1
253-1-2,Type-3,0,1
254-1-2,Type-3,0,1
263-1-2,Type-2,1,1
263-1-3,Type-3,0,1
263-1-4,Type-3,0,1
263-2-3,Type-3,0,1
263-2-4,Type-2,1,1
263-3-4,Type-2,1,1
273-1-2,Type-3,0,1
285-1-2,Type-3,0,1
287-2-3,Type-1,0,1
300-2-3,Type-1,0,1
318-1-2,Type-2,1,1
327-1-2,Type-2,1,1
334-1-2,Type-2,1,1
351-1-2,Type-1,0,1
377-1-2,Type-2,1,1
400-1-2,Type-2,1,1
419-1-2,Type-2,1,1
431-1-2,Type-2,1,1
454-1-2,Type-3,0,1
471-1-2,Type-3,0,1
495-2-3,Type-2,1,1
505-1-2,Type-2,1,1
509-1-2,Type-2,1,1
531-1-2,Type-3,0,1
550-1-2,Type-3,0,1
571-1-2,Type-2,1,1
572-1-2,Type-2,1,1
574-1-2,Type-3,0,1
594-1-2,Type-2,1,1
602-1-2,Type-2,1,1
603-1-2,Type-3,0,1
603-4-5,Type-3,0,1
605-1-2,Type-2,1,1
620-1-2,Type-3,0,1
621-1-2,Type-2,1,1
635-1-2,Type-3,0,1
643-1-2,Type-2,1,1
643-3-4,Type-2,1,1
648-1-2,Type-3,0,1
658-1-2,Type-3,0,1
661-1-2,Type-3,0,1
666-1-2,Type-3,0,1
669-1-2,Type-3,0,1
684-1-2,Type-2,1,1
687-1-2,Type-3,0,1
723-1-2,Type-2,1,1
724-1-2,Type-2,1,1
725-1-2,Type-3,0,1
740-1-2,Type-2,1,1
743-1-2,Type-2,1,1
