Pair ID,Clone Type,GPT-4o,Jdeodorant
142-1-2,Type-2,0,1
146-1-2,Type-3,1,1
153-1-2,Type-2,0,1
180-1-2,Type-2,0,1
183-1-2,Type-1,0,1
268-1-3,Type-3,1,1
268-2-3,Type-3,1,1
268-3-4,Type-3,1,1
298-1-3,Type-3,1,1
298-2-3,Type-3,1,1
298-3-4,Type-3,1,1
301-1-2,Type-3,1,1
311-1-2,Type-3,1,1
330-1-2,Type-3,1,1
478-3-6,Type-3,1,1
478-3-9,Type-3,1,1
478-3-11,Type-3,1,1
497-1-3,Type-1,0,1
497-2-3,Type-1,0,1
504-1-2,Type-2,0,1
504-2-3,Type-3,1,1
518-3-9,Type-3,1,1
518-3-10,Type-3,1,1
518-3-12,Type-3,1,1
518-3-13,Type-3,1,1
527-2-8,Type-3,1,1
539-1-3,Type-3,1,1
539-2-3,Type-3,1,1
573-1-2,Type-2,0,1
582-1-2,Type-3,1,1
631-1-2,Type-2,0,1
631-1-3,Type-3,1,1
631-2-3,Type-3,1,1
641-1-3,Type-2,0,1
641-1-4,Type-2,0,1
659-1-2,Type-2,0,1
678-1-3,Type-2,0,1
678-1-4,Type-2,0,1
690-2-3,Type-3,1,1
745-1-3,Type-2,0,1
745-1-4,Type-2,0,1
755-1-3,Type-3,1,1
755-1-4,Type-3,1,1
882-1-2,Type-3,1,1
992-1-2,Type-3,1,1
1161-1-4,Type-3,1,1
1161-1-7,Type-3,1,1
1161-1-8,Type-3,1,1
1161-2-3,Type-3,1,1
1161-2-5,Type-3,1,1
1161-2-6,Type-3,1,1
1161-2-9,Type-3,1,1
1161-2-10,Type-3,1,1
1161-3-7,Type-3,1,1
1161-3-8,Type-3,1,1
1161-4-6,Type-3,1,1
1161-4-9,Type-3,1,1
1161-4-10,Type-3,1,1
1161-5-7,Type-3,1,1
1161-5-8,Type-3,1,1
1161-6-8,Type-3,1,1
1161-7-9,Type-3,1,1
1161-7-10,Type-3,1,1
1214-1-2,Type-4,0,1
1227-1-3,Type-4,0,1
1227-2-3,Type-4,0,1
1243-1-2,Type-4,0,1
1243-1-3,Type-4,0,1
1312-1-3,gpt identify they are not clone,0,1
1415-1-4,Type-3,1,1
1415-2-3,Type-3,1,1
1415-2-5,Type-3,1,1
1415-4-5,Type-3,1,1
1543-1-2,Type-3,1,1
1574-1-2,Type-3,1,1
1652-1-2,Type-3,1,1
1652-1-3,Type-3,1,1
1652-1-4,Type-4,0,1
1652-1-5,Type-4,0,1
1714-1-3,Type-3,1,1
1714-2-3,Type-3,1,1
1729-1-4,Type-3,1,1
1729-1-5,Type-3,1,1
1757-2-4,Type-3,1,1
1757-2-5,Type-3,1,1
1757-3-4,Type-3,1,1
1757-3-5,Type-3,1,1
1772-1-2,Type-3,1,1
