Pair ID,Clone Type,GPT-4o,Jdeodorant
90-1-2,Type-2,0,1
93-1-2,Type-3,1,1
126-1-2,Type-3,1,1
126-1-3,Type-3,1,1
129-3-4,Type-3,1,1
166-1-2,Type-3,1,1
166-2-3,Type-3,1,1
292-2-8,Type-3,1,1
292-2-10,Type-3,1,1
292-3-5,Type-3,1,1
292-5-8,Type-3,1,1
292-5-10,Type-3,1,1
342-8-13,Type-3,1,1
349-2-3,Type-3,1,1
425-1-2,Type-3,1,1
425-1-3,Type-3,1,1
718-1-3,Type-3,1,1
718-1-4,Type-3,1,1
718-1-7,Type-3,1,1
718-1-8,Type-3,1,1
718-2-3,Type-3,1,1
718-2-4,Type-3,1,1
718-2-7,Type-3,1,1
718-2-8,Type-3,1,1
718-3-5,Type-3,1,1
718-3-6,Type-3,1,1
718-4-5,Type-3,1,1
718-4-6,Type-2,0,1
718-5-7,Type-2,0,1
718-5-8,Type-2,0,1
718-6-7,Type-3,1,1
718-6-8,Type-3,1,1
726-1-2,Type-3,1,1
726-1-3,Type-3,1,1
776-20-29,Type-2,0,1
776-21-29,Type-2,0,1
776-22-29,Type-2,0,1
776-23-29,Type-2,0,1
776-24-29,Type-2,0,1
776-25-29,Type-2,0,1
776-26-29,Type-2,0,1
776-27-29,Type-2,0,1
776-29-30,Type-2,0,1
1046-1-3,Type-3,1,1
1046-2-3,Type-1,0,1
1097-1-2,Type-3,1,1
1118-1-3,Type-3,1,1
1118-2-3,Type-3,1,1
1133-1-2,Type-3,1,1
1133-1-4,Type-3,1,1
1133-1-5,Type-3,1,1
1133-2-3,Type-3,1,1
1133-2-6,Type-3,1,1
1133-3-4,Type-3,1,1
1133-3-5,Type-3,1,1
1133-4-6,Type-3,1,1
1133-5-6,Type-3,1,1
1283-1-3,Type-3,1,1
1283-1-4,Type-3,1,1
1283-2-3,Type-3,1,1
1283-2-4,Type-3,1,1
1294-1-2,Type-2,0,1
1294-1-3,Type-2,0,1
1546-1-2,Type-3,1,1
1785-1-2,Type-3,1,1
1785-1-3,Type-3,1,1
1785-1-4,Type-3,1,1
1785-1-5,Type-3,1,1
31-1-2,Type-3,1,1
71-1-2,Type-3,1,1
100-1-2,Type-3,1,1
100-1-3,Type-3,1,1
100-2-3,Type-3,1,1
106-1-3,Type-3,1,1
129-1-2,Type-3,1,1
129-1-3,Type-3,1,1
129-1-4,Type-3,1,1
129-1-5,Type-3,1,1
129-2-3,Type-3,1,1
129-2-4,Type-3,1,1
129-2-5,Type-3,1,1
129-3-5,Type-3,1,1
129-4-5,Type-3,1,1
155-1-2,Type-3,1,1
155-2-3,Type-3,1,1
157-1-3,Type-3,1,1
157-2-3,Type-3,1,1
163-1-3,Type-3,1,1
163-2-3,Type-3,1,1
230-1-2,Type-3,1,1
242-3-5,Type-3,1,1
242-4-5,Type-3,1,1
274-1-2,Type-3,1,1
274-2-3,Type-3,1,1
274-2-4,Type-3,1,1
274-2-5,Type-3,1,1
274-3-5,Type-3,1,1
278-1-2,Type-3,1,1
292-1-6,Type-3,1,1
292-1-7,Type-3,1,1
292-1-8,Type-3,1,1
292-1-9,Type-3,1,1
292-1-10,Type-3,1,1
292-2-6,Type-3,1,1
292-2-7,Type-3,1,1
292-2-9,Type-3,1,1
292-3-4,Type-3,1,1
292-3-6,Type-3,1,1
292-3-7,Type-3,1,1
292-3-8,Type-3,1,1
292-3-9,Type-3,1,1
292-3-10,Type-3,1,1
292-4-6,Type-3,1,1
292-4-7,Type-3,1,1
292-4-9,Type-3,1,1
292-5-6,Type-3,1,1
292-5-7,Type-3,1,1
292-5-9,Type-3,1,1
292-6-8,Type-3,1,1
292-6-10,Type-3,1,1
292-7-8,Type-3,1,1
292-7-10,Type-3,1,1
292-8-9,Type-3,1,1
292-9-10,Type-3,1,1
293-1-2,Type-3,1,1
296-1-2,Type-3,1,1
296-1-3,Type-3,1,1
296-1-4,Type-3,1,1
296-1-5,Type-3,1,1
296-2-3,Type-3,1,1
296-2-4,Type-3,1,1
296-2-5,Type-3,1,1
304-1-3,Type-3,1,1
304-2-3,Type-3,1,1
305-1-4,Type-3,1,1
