Pair ID,Clone Type,GPT-4o,Jdeodorant
62-1-2,Type-3,1,1
65-1-2,Type-3,1,1
131-1-2,Type-3,1,1
165-1-2,Type-2,0,1
182-1-3,Type-3,1,1
182-2-3,Type-3,1,1
188-1-3,Type-3,1,1
188-1-4,Type-3,1,1
188-2-3,Type-3,1,1
188-2-4,Type-3,1,1
210-1-2,Type-3,1,1
210-1-5,Type-3,1,1
210-2-3,Type-2,0,1
210-2-4,Type-3,1,1
210-3-5,Type-3,1,1
210-4-5,Type-3,1,1
211-1-2,Type-3,1,1
211-2-3,Type-3,1,1
257-1-2,Type-3,1,1
552-1-2,Type-3,1,1
776-28-29,Type-3,1,1
789-1-4,Type-2,0,1
789-2-4,Type-2,0,1
789-3-4,Type-2,0,1
