Pair ID (Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,JDeodorant
38-1-2,Type-1,1,1,1,1
63-1-2,Type-1,1,1,1,1
163-1-2,Type-1,0,,0,1
209-3-4,Type-1,1,0,0,1
221-1-2,Type-1,1,1,1,1
225-1-2,Type-1,1,1,1,1
279-1-2,Type-1,1,1,1,1
282-1-2,Type-1,1,1,1,1
321-2-4,Type-1,0,,0,1
374-1-2,Type-1,1,1,1,1
432-1-2,Type-1,1,1,1,1
511-1-3,Type-1,0,,0,1
511-2-4,Type-1,1,1,1,1
512-1-3,Type-1,0,,0,1
554-1-2,Type-1,1,1,1,1
627-1-3,Type-1,1,1,1,1
710-1-2,Type-1,1,1,1,1
759-1-3,Type-1,1,1,1,1
759-2-4,Type-1,1,1,1,1
817-1-2,Type-1,1,1,1,1
824-2-5,Type-1,0,,0,1
839-1-2,Type-1,1,1,1,1
859-1-2,Type-1,1,1,1,1
878-2-3,Type-1,1,1,1,1
892-2-3,Type-1,1,1,1,1
900-1-3,Type-1,1,1,1,1
900-2-4,Type-1,1,1,1,1
937-1-2,Type-1,1,1,1,1
981-3-5,Type-1,0,,0,1
1138-1-3,Type-1,1,1,1,1
1138-2-4,Type-1,1,1,1,1
1172-1-3,Type-1,0,,0,1
1172-2-4,Type-1,0,,0,1
1210-1-3,Type-1,1,1,1,1
1253-1-2,Type-1,1,1,1,1
1295-2-4,Type-1,0,,0,1
1300-1-2,Type-1,1,1,1,1
1417-1-2,Type-1,1,1,1,1
1435-1-3,Type-1,1,1,1,1
1435-2-4,Type-1,1,1,1,1
1477-1-2,Type-1,1,1,1,1
1547-1-2,Type-1,1,1,1,1
1634-1-2,Type-1,1,1,1,1
1646-1-2,Type-1,1,1,1,1
1647-1-2,Type-1,1,1,1,1
1649-1-2,Type-1,1,1,1,1
1649-1-3,Type-1,1,1,1,1
1649-2-3,Type-1,1,1,1,1
1666-1-2,Type-1,1,1,1,1
1748-1-2,Type-1,1,1,1,1
1786-2-4,Type-1,0,,0,1
317-1-2,Type-1,1,,1,1
617-1-2,Type-1,1,,1,1
705-1-3,Type-1,0,,0,1
824-1-4,Type-1,0,,0,1
928-1-2,Type-1,1,1,1,1
981-1-4,Type-1,1,1,1,1
981-2-3,Type-1,0,,0,1
981-2-5,Type-1,0,,0,1
1536-1-2,Type-1,0,,0,1
1536-6-8,Type-1,1,0,0,1
1751-2-3,Type-1,1,1,1,1
1751-7-9,Type-1,1,1,1,1
1815-2-4,Type-1,0,,0,1
