Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,JDeodorant
66-1-3,Type-3,0,,0,1
126-2-3,Type-3,1,1,1,1
195-1-2,Type-3,0,,0,1
195-1-3,Type-1,0,,0,1
246-1-2,Type-2,1,1,1,1
261-1-2,Type-1,0,,0,1
321-1-3,Type-1,0,,0,1
321-1-4,Type-3,0,,0,1
321-2-3,Type-1,0,,0,1
511-1-4,Type-3,1,1,1,1
511-2-3,Type-3,1,1,1,1
512-1-2,Type-3,0,,0,1
759-1-2,Type-2,0,,0,1
759-1-4,Type-2,0,,0,1
759-2-3,Type-2,0,,0,1
759-3-4,Type-2,1,1,1,1
762-3-5,Type-2,0,,0,1
762-3-6,Type-2,0,,0,1
824-1-3,Type-3,0,,0,1
824-1-5,Type-1,1,1,1,1
824-2-3,Type-3,0,,0,1
824-2-4,Type-3,0,,0,1
824-3-4,Type-3,0,,0,1
824-3-5,Type-3,0,,0,1
878-1-2,Type-2,1,1,1,1
878-1-3,Type-2,1,1,1,1
892-1-2,Type-2,0,,0,1
892-1-3,Type-2,1,1,1,1
900-1-4,Type-1,1,1,1,1
900-2-3,Type-1,1,1,1,1
907-1-3,Type-2,1,1,1,1
948-1-2,Type-2,1,1,1,1
948-1-3,Type-2,1,1,1,1
948-2-3,Type-2,1,1,1,1
951-1-3,Type-3,1,1,1,1
951-2-3,Type-3,1,1,1,1
960-1-2,Type-2,0,,0,1
960-1-3,Type-2,0,,0,1
960-1-4,Type-2,0,,0,1
960-1-5,Type-2,0,,0,1
960-1-6,Type-2,0,,0,1
960-1-7,Type-2,0,,0,1
960-2-3,Type-2,0,,0,1
960-2-4,Type-2,0,,0,1
960-2-5,Type-2,0,,0,1
960-2-6,Type-2,0,,0,1
960-2-7,Type-2,0,,0,1
960-3-4,Type-2,0,,0,1
960-3-5,Type-2,0,,0,1
960-3-6,Type-2,0,,0,1
960-3-7,Type-2,0,,0,1
960-4-5,Type-2,0,,0,1
960-4-6,Type-2,0,,0,1
960-4-7,Type-2,0,,0,1
960-5-6,Type-3,0,,0,1
960-5-7,Type-2,0,,0,1
960-6-7,Type-2,0,,0,1
981-1-5,Type-3,1,1,1,1
981-2-4,Type-2,1,1,1,1
981-3-4,Type-2,0,,0,1
1008-1-2,Type-2,0,,0,1
1008-1-3,Type-2,0,,0,1
1008-1-4,Type-2,0,,0,1
1008-1-5,Type-2,0,,0,1
1008-1-6,Type-2,0,,0,1
1008-2-3,Type-2,0,,0,1
1008-2-4,Type-2,0,,0,1
1008-2-5,Type-2,0,,0,1
1008-2-6,Type-2,0,,0,1
1008-3-4,Type-2,0,,0,1
1008-3-5,Type-2,0,,0,1
1008-3-6,Type-2,0,,0,1
1008-4-5,Type-2,0,,0,1
1008-4-6,Type-2,1,1,1,1
1008-5-6,Type-2,0,,0,1
1095-1-2,Type-2,0,,0,1
1134-1-2,Type-3,1,1,1,1
1138-1-4,Type-2,1,1,1,1
1138-1-5,Type-2,1,1,1,1
1138-2-3,Type-2,1,1,1,1
1138-2-5,Type-2,1,1,1,1
1161-1-5,Type-2,1,,1,1
1161-1-9,Type-2,1,,1,1
1161-3-9,Type-2,0,,0,1
1161-5-6,Type-3,1,1,1,1
1161-5-10,Type-3,0,,0,1
1161-6-9,Type-2,1,1,1,1
1172-1-4,Type-1,0,,0,1
1172-2-3,Type-1,1,1,1,1
1242-1-2,Type-3,1,1,1,1
1267-1-2,Type-1,1,0,0,1
1267-1-3,Type-2,0,,0,1
1267-1-4,Type-2,1,0,0,1
1267-1-5,Type-2,0,,0,1
1267-1-6,Type-3,0,,0,1
1270-1-3,Type-3,0,,0,1
1270-1-4,Type-2,1,1,1,1
1270-2-3,Type-3,1,1,1,1
1270-2-4,Type-3,0,,0,1
1295-1-3,Type-2,0,,0,1
1295-1-4,Type-2,1,1,1,1
1295-2-3,Type-2,1,1,1,1
1324-1-2,Type-1,1,1,1,1
1408-1-2,Type-2,1,1,1,1
1408-1-3,Type-3,1,1,1,1
1435-1-2,Type-2,1,1,1,1
1435-1-4,Type-2,1,1,1,1
1435-2-3,Type-2,1,0,0,1
1435-3-4,Type-2,1,0,0,1
1464-1-6,Type-2,1,1,1,1
1464-1-8,Type-2,1,1,1,1
1464-2-6,Type-2,0,,0,1
1464-2-8,Type-2,0,,0,1
1464-3-6,Type-2,0,,0,1
1464-3-8,Type-2,1,1,1,1
1464-4-6,Type-2,1,1,1,1
1464-4-8,Type-2,1,1,1,1
1464-6-8,Type-2,1,1,1,1
1539-1-2,Type-1,1,1,1,1
1575-1-2,Type-3,1,1,1,1
1750-1-3,Type-2,1,1,1,1
1750-2-4,Type-2,1,1,1,1
1767-2-3,Type-2,1,1,1,1
1786-1-3,Type-2,0,,0,1
1786-1-4,Type-2,0,,0,1
1786-2-3,Type-2,0,,0,1
1807-1-2,Type-2,1,1,1,1
307-1-2,Type-3,1,1,1,1
