Pair ID(Jfreechart),Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,JDeodorant
41-1-2,Type-3,1,1,1,1
48-1-2,Type-3,1,1,1,1
135-1-2,Type-3,0,,0,1
139-1-2,Type-2,1,1,1,1
143-1-2,Type-3,1,1,1,1
143-3-4,Type-3,0,,0,1
144-1-2,Type-3,1,1,1,1
160-1-2,Type-3,1,1,1,1
161-1-2,Type-3,0,,0,1
169-1-2,Type-3,1,1,1,1
188-3-4,Type-3,1,,1,1
195-2-3,Type-3,1,1,1,1
210-1-3,Type-1,1,,1,1
266-1-2,Type-3,1,1,1,1
295-1-2,Type-3,1,1,1,1
306-1-2,Type-3,1,1,1,1
307-2-3,Type-3,1,1,1,1
307-4-5,Type-3,1,1,1,1
336-1-2,Type-3,1,1,1,1
378-1-2,Type-3,1,1,1,1
412-1-2,Type-3,1,1,1,1
425-2-3,Type-2,1,1,1,1
433-1-2,Type-1,1,1,1,1
442-1-2,Type-3,1,0,0,1
452-1-2,Type-2,1,1,1,1
458-1-2,Type-3,1,1,1,1
496-1-2,Type-3,1,1,1,1
508-1-2,Type-1,1,1,1,1
510-1-2,Type-3,1,1,1,1
510-1-3,Type-3,1,1,1,1
510-2-3,Type-3,1,1,1,1
510-4-5,Type-3,1,1,1,1
511-1-2,Type-1,0,,0,1
511-3-4,Type-1,1,1,1,1
512-2-3,Type-3,0,,0,1
525-1-2,Type-2,1,1,1,1
589-1-2,Type-3,1,0,0,1
627-1-2,Type-3,1,1,1,1
627-3-4,Type-2,1,1,1,1
644-1-2,Type-3,1,1,1,1
645-1-2,Type-3,1,1,1,1
647-1-2,Type-2,1,1,1,1
650-1-2,Type-3,1,1,1,1
680-1-2,Type-2,1,1,1,1
695-1-2,Type-3,1,1,1,1
705-2-3,Type-3,0,,0,1
718-1-2,Type-3,1,1,1,1
718-3-4,Type-3,1,1,1,1
718-5-6,Type-3,1,1,1,1
718-7-8,Type-3,1,1,1,1
781-1-2,Type-3,1,1,1,1
789-1-2,Type-2,1,1,1,1
789-1-3,Type-2,1,1,1,1
789-2-3,Type-2,1,1,1,1
821-1-2,Type-3,1,1,1,1
824-1-2,Type-3,1,,1,1
824-4-5,Type-3,1,1,1,1
858-1-2,Type-2,1,1,1,1
874-1-2,Type-3,1,1,1,1
899-1-2,Type-2,1,1,1,1
902-1-2,Type-3,1,1,1,1
940-1-2,Type-2,1,1,1,1
951-1-2,Type-2,1,1,1,1
970-1-2,Type-2,1,1,1,1
976-1-2,Type-2,1,1,1,1
981-1-2,Type-2,1,,1,1
981-4-5,Type-2,1,1,1,1
989-1-2,Type-2,1,1,1,1
1011-1-2,Type-3,1,1,1,1
1068-1-2,Type-2,0,,0,1
1099-1-2,Type-3,1,1,1,1
1102-1-2,Type-3,1,1,1,1
1113-1-2,Type-1,1,1,1,1
1113-1-3,Type-1,1,1,1,1
1113-2-3,Type-2,1,1,1,1
1116-1-2,Type-2,1,1,1,1
1116-1-3,Type-2,1,1,1,1
1118-1-2,Type-2,1,1,1,1
1138-1-2,Type-2,1,1,1,1
1138-3-4,Type-2,1,1,1,1
1138-3-5,Type-2,1,1,1,1
1138-4-5,Type-2,1,1,1,1
1161-3-5,Type-2,1,1,1,1
1161-9-10,Type-2,1,1,1,1
1230-1-2,Type-1,0,,0,1
1250-1-2,Type-2,1,1,1,1
1250-3-5,Type-2,1,1,1,1
1250-3-7,Type-2,1,1,1,1
1250-3-9,Type-2,1,1,1,1
1250-3-11,Type-2,1,1,1,1
1250-3-13,Type-2,1,1,1,1
1267-2-3,Type-3,1,1,1,1
1267-2-4,Type-2,1,1,1,1
1267-2-5,Type-2,1,1,1,1
1267-2-6,Type-2,1,1,1,1
1267-3-4,Type-2,1,1,1,1
1267-4-5,Type-3,1,1,1,1
1267-4-6,Type-3,1,1,1,1
1270-3-4,Type-1,1,1,1,1
1283-1-2,Type-3,1,1,1,1
1283-3-4,Type-3,1,1,1,1
1294-2-3,Type-2,1,1,1,1
1295-1-2,Type-2,1,1,1,1
1295-3-4,Type-1,1,1,1,1
1302-1-2,Type-2,1,1,1,1
1303-1-2,Type-2,1,1,1,1
1359-1-2,Type-2,1,1,1,1
1383-1-2,Type-2,1,,1,1
1419-1-2,Type-2,1,1,1,1
1471-1-2,Type-2,1,1,1,1
1471-1-3,Type-2,1,1,1,1
1471-1-4,Type-2,1,1,1,1
1471-2-3,Type-2,1,1,1,1
1471-2-4,Type-2,1,1,1,1
1471-3-4,Type-2,1,1,1,1
1540-1-2,Type-3,1,1,1,1
1551-1-2,Type-2,1,1,1,1
1559-2-3,Type-2,1,1,1,1
1559-2-4,Type-2,1,1,1,1
1559-2-5,Type-2,1,1,1,1
1559-2-6,Type-2,1,1,1,1
1559-2-7,Type-2,1,1,1,1
1559-2-8,Type-2,1,1,1,1
1559-2-9,Type-2,1,1,1,1
1561-1-2,Type-2,1,1,1,1
1635-1-2,Type-3,1,1,1,1
1645-1-2,Type-2,1,1,1,1
1728-1-2,Type-2,1,1,1,1
1763-1-2,Type-2,1,1,1,1
1785-3-4,Type-2,1,1,1,1
1785-3-5,Type-2,1,1,1,1
1785-4-5,Type-2,1,1,1,1
1813-1-2,Type-2,1,1,1,1
1815-1-2,Type-2,0,,0,1
1815-3-4,Type-1,0,,0,1
1812-2-3,Type-2,1,1,1,1
1812-2-4,Type-2,1,1,1,1
1812-3-4,Type-2,1,1,1,1
